category,subcategory,command,syntax,description,example,parameters,notes,use_case,related_commands
Overview,About eSIM,N/A,N/A,"eSIM is a virtual electronics simulator developed by FOSSEE (IIT Bombay) for learning circuit design and simulation. It uses Ngspice for backend simulation and runs in a browser.","Simulate a common emitter amplifier using Ngspice and visualize output graph.","Circuit file, type of analysis (AC, DC, Transient)","Requires modern browser, designed for academic purposes.","Education, training, virtual labs in electronics and communication engineering.",".tran, .ac, run, plot, .print, .measure"
Installation Issues,Dependencies Missing,install_dependencies,sudo apt-get install dependencies,KiCad or Ngspice dependencies not installed properly,sudo apt-get install kicad ngspice,Package names for Ubuntu,Check system requirements before installation,Fresh installation on Ubuntu,verify_installation
Installation Issues,Permission Errors,fix_permissions,sudo chmod +x install_script,Installation fails due to insufficient permissions,sudo chmod +x eSim-2.3.run,Executable file path,Run as administrator on Windows,Installation script won't execute,installation_troubleshooting
Installation Issues,Path Issues,set_path,export PATH=$PATH:/opt/eSim,eSim commands not found in terminal,export PATH=$PATH:/opt/eSim-2.3/bin,Correct eSim installation directory,Add to .bashrc for permanent fix,Command not found errors,environment_setup
Installation Issues,Version Conflicts,version_check,esim --version,Conflicting versions of dependencies installed,Check KiCad version compatibility,Version numbers,Uninstall old versions first,Multiple eSim versions installed,uninstall_old
Installation Issues,Browser Compatibility,check_browser,Open supported browser,eSIM not loading properly in browser,Use Chrome Firefox or Safari latest versions,Modern browser required,Disable ad blockers for eSIM,Web interface not working,browser_setup
Installation Issues,Python Dependencies,install_python_deps,pip install PyQt5 matplotlib numpy,Python or PyQt5 dependencies missing,pip install PyQt5 matplotlib numpy scipy,Python package requirements,Use pip3 for Python3 installations,GUI not loading or plotting issues,python_setup
Simulation Errors,Netlist Generation Failed,check_netlist,Tools → Generate Netlist,Schematic cannot be converted to SPICE netlist,Missing ground connection in circuit,Proper component labeling required,All components must have SPICE models,Netlist conversion errors,add_spice_models
Simulation Errors,Convergence Problems,convergence_fix,.options gmin=1e-12,Simulation fails to converge,".options gmin=1e-12 abstol=1e-12",Tolerance parameters,Adjust simulation options,Large circuits or nonlinear elements,simulation_options
Simulation Errors,Model Not Found,add_model,Model Editor → Import,Component SPICE model missing from library,Import transistor.lib to model library,Model file path,Check model syntax,Custom components not simulating,model_library
Simulation Errors,Syntax Errors,fix_syntax,Edit netlist manually,SPICE syntax errors in netlist,Fix ".model" statement format,Proper SPICE syntax,Use Model Editor for validation,Simulation won't start,netlist_debug
Simulation Errors,Timeout Errors,adjust_timeout,Set simulation timeout,Simulation runs too long and times out,Increase timeout limit in settings,Time limit in seconds,Reduce circuit complexity if needed,Long running simulations,simulation_settings
Simulation Errors,Memory Overflow,reduce_complexity,Simplify circuit design,Simulation exceeds available memory,Break large circuit into smaller blocks,Available system memory,Close other browser tabs,Very large circuits,memory_management
Simulation Errors,Division by Zero,check_parameters,Verify component values,Mathematical error in simulation,Ensure no zero-value resistors or capacitors,Component parameter validation,Use realistic component values,Parameter validation errors,component_check
Schematic Issues,Component Not Found,add_component_library,Library → Add,Required component missing from library,Add custom component library,Library file path,Install additional KiCad libraries,Missing components in palette,library_manager
Schematic Issues,ERC Violations,run_erc,Tools → ERC,Electrical Rule Check failures,Unconnected pins or power issues,Design rule settings,Fix all ERC errors before simulation,Schematic validation fails,design_rules
Schematic Issues,Pin Connection Errors,fix_connections,Manual wire placement,Components not properly connected,Add junction dots at wire intersections,Proper wire routing,Check for floating nodes,Connectivity issues,wire_connections
Schematic Issues,Label Issues,fix_labels,Edit component properties,Component reference designators missing,Set R1 R2 for resistors V1 for voltage source,Unique component names,Sequential numbering required,Duplicate component names,component_properties
Schematic Issues,Wire Crossing Problems,fix_wire_crossing,Use junction dots,Ambiguous wire connections at crossings,Add junction dots where wires should connect,Visual connection indicators,Avoid T-junctions without dots,Connection ambiguity,wire_management
Schematic Issues,Component Rotation,rotate_component,Right-click → Rotate,Component orientation incorrect,Rotate component to proper orientation,90-degree increments,Use R key for quick rotation,Schematic readability,component_placement
Schematic Issues,Grid Alignment,snap_to_grid,View → Grid Settings,Components not aligned properly,Enable snap-to-grid functionality,Grid spacing settings,Use consistent grid for neat schematics,Schematic organization,design_aesthetics
Schematic Issues,Bus Connections,create_bus,Place → Bus,Multiple signal lines need organization,Create bus for address or data lines,Bus notation standards,Label bus segments clearly,Multi-bit signal management,signal_organization
PCB Design Issues,Footprint Missing,assign_footprint,Tools → Assign Footprints,Component footprint not assigned,Map schematic symbol to PCB footprint,Footprint library selection,Check component associations,PCB layout cannot be generated,footprint_library
PCB Design Issues,DRC Violations,run_drc,Tools → DRC,Design Rule Check failures in PCB,Trace width or spacing violations,Design rule file settings,Adjust PCB layout or rules,PCB manufacturing errors,pcb_rules
PCB Design Issues,Routing Problems,manual_route,Route → Interactive Router,Auto-routing fails or incomplete,Manually route critical nets,Layer and via settings,Use multiple PCB layers,Complex PCB layouts,via_placement
PCB Design Issues,Layer Stack Issues,configure_layers,Setup → Layer Stack,Incorrect PCB layer configuration,Set up 2-layer or 4-layer stackup,Layer count and thickness,Consult manufacturer specs,Multi-layer PCB design,stackup_planning
PCB Design Issues,Via Problems,fix_vias,Place → Via,Vias not connecting layers properly,Check via drill size and pad size,Via specifications,Verify layer connections,Inter-layer connections,layer_connectivity
Performance Issues,Simulation Slow,optimize_simulation,Reduce timestep or complexity,Simulation takes too long to complete,Reduce circuit complexity or timestep,Simulation parameters,Use appropriate analysis types,Large circuit simulation,simulation_tuning
Performance Issues,Memory Issues,increase_memory,System settings,Out of memory during simulation,Close other applications increase swap,System memory allocation,Monitor system resources,Complex mixed-signal circuits,system_resources
Performance Issues,GUI Freezing,restart_gui,Ctrl+Alt+T → killall eSim,eSim interface becomes unresponsive,Restart eSim application,Process management,Save work frequently,Large schematics or long simulations,force_quit
Performance Issues,Browser Lag,optimize_browser,Clear browser cache,Web interface running slowly,Clear cache and restart browser,Browser optimization,Disable unnecessary extensions,Poor web performance,browser_maintenance
Performance Issues,Plot Generation Slow,reduce_plot_points,Limit data points,Graph plotting takes too long,Reduce number of plot points in analysis,Plot resolution settings,Balance detail vs performance,Large dataset visualization,plot_optimization
Model Issues,Custom Model Errors,validate_model,Model Editor → Check Syntax,User-created SPICE models have errors,Check .model statement syntax,SPICE model parameters,Refer to SPICE manual,Custom component simulation,spice_syntax
Model Issues,Library Path Wrong,fix_library_path,Configure → Library Paths,Model libraries not found,Set correct path to model files,Directory paths,Use absolute paths,Model import failures,path_configuration
Model Issues,Model Parameters Invalid,check_model_params,Edit model parameters,Component model has invalid parameters,Verify all model parameters are realistic,Parameter ranges and units,Check manufacturer datasheets,Simulation accuracy issues,parameter_validation
Model Issues,Temperature Dependence,set_temperature,.temp 27,Temperature effects not modeled,Add temperature analysis commands,Temperature in Celsius,Consider temperature coefficients,Environmental simulation,thermal_analysis
Analysis Issues,AC Analysis Problems,setup_ac_analysis,.ac dec 10 1 1meg,AC analysis not working correctly,Set up proper AC analysis parameters,Frequency range and points,Use logarithmic or linear sweep,Frequency response analysis,frequency_analysis
Analysis Issues,Transient Analysis Errors,fix_transient,.tran 0.1ms 10ms,Transient simulation fails,Check time step and stop time,Time parameters,Ensure stable initial conditions,Time domain analysis,time_analysis
Analysis Issues,DC Sweep Issues,configure_dc_sweep,.dc V1 0 5 0.1,DC sweep not producing results,Set up DC source sweep parameters,Voltage or current range,Check sweep variable exists,Parameter variation analysis,parametric_analysis
